;MET_5.1;MET_5.2;F2i/F2u_7.1;VSA_7.1;VAI_7.1;FCR_7.1;NoP_8.1;PPT_8.1;SPIR_8.1;RIWP_8.1;relF0VR_8.2;relF0SD_8.2;RS_8.3;relF0VR_8.4;relF0SD_8.4;relF1SD_9.1;relF2SD_9.1;relF0SD_9.1;relF0VR_9.1;relSEOSD_9.1;relSEOVR_9.1;RIWP_9.1;SPIR_9.1;relF1SD_9.2;relF2SD_9.2;relF0SD_9.2;relF0VR_9.2;relSEOSD_9.2;relSEOVR_9.2;RIWP_9.2;SPIR_9.2;PPT_9.2;NoP_9.2;relF1SD_9.4;relF2SD_9.4;relF0SD_9.4;relF0VR_9.4;relSEOSD_9.4;relSEOVR_9.4;RIWP_9.4;SPIR_9.4;PPT_9.4;NoP_9.4
K1021;7.1375625;5.2850625;1.0291263852149548;101058.61856118291;0.3999358812234338;2.5105947679620413;17.0;88.17637217401419;42.55287712117966;59.22279017422098;1.0831961005012933;0.14522963215881415;4.345260168731095;0.7973189912860498;0.7973189912860498;0.17032623705872862;0.09348534230527057;0.13150094474654522;0.7564188275151053;0.09246893756171523;0.7677991460771609;764.2843403821164;150.34639320803439;0.15817974909274665;0.09748205489674075;0.10890707950196912;0.8402668647949323;0.1173146584642402;0.6937463776323842;2.721054071147695;61.82692459614425;602.6397942699518;7.0;0.17658329975679618;0.11225952578735685;0.19958044897946506;0.8477102623947013;0.11443538553991577;0.797155787025148;20.971099942628328;78.73029664609379;81.66009878562777;157
K1022;17.6000625;11.4025625;1.0251274919610125;247486.73686665605;0.4123247777909088;2.4327066540717066;15.0;97.89402713694004;45.41737349707017;10.816531414733603;0.9106124782293703;0.24064258756438126;;0.927004001978816;0.927004001978816;0.2553447666145232;0.13370110226907353;0.07778493090138446;0.9537453368982819;0.11799174381996469;0.74113041975333;899.1998426296675;143.5175376725871;0.22980854578716672;0.13096985548250517;0.24126227967797315;0.9895001521230572;0.13657999529372278;0.7088725051409009;2.6047958018675983;59.98627391263094;586.9816014848445;6.6;0.24543017134561576;0.13596461937070164;0.36015821285611893;0.9792601101166998;0.158994091461636;0.8311894659306682;19.834063110734082;68.46941327860603;90.89490754503616;133
K1023;11.8525625;10.6575625;1.0893984765829865;316642.5001587039;0.4199929727543988;2.38719493297627;18.0;42.81443785950431;28.557659699787603;16.668132794183833;0.9100189313707618;0.1927649143290464;3.729645997030112;1.0633968041869744;1.0633968041869744;0.2522166415945257;0.1181622422136821;0.09727516514465674;1.22675377958774;0.07637096876706136;0.7437709474267817;539.379075349942;159.7562386997578;0.20688498808416628;0.1176355877277816;0.22926073427532973;1.0866227053216588;0.09865946214020185;0.7800917188337866;2.2357328185237195;25.96723192696054;396.6151755947275;7.0;0.2656104026216138;0.13043780381116563;0.3764869813000851;1.205838835786805;0.11816968118625036;0.865781902146213;19.40579418217066;55.47703265295311;75.11533341019052;167
K1024;10.3825625;16.1425625;1.048578743841392;145728.06759681428;0.4303154248729717;2.3266875900036683;21.0;82.09245272805141;56.17944651541131;56.60863545041541;1.0271428566602563;0.21188677331286554;4.520827751403304;0.8113520358292806;0.8113520358292806;0.2768047189802305;0.14839748753808338;0.12536733792223123;0.9977367224823613;0.10460581401345011;0.7663742465706767;848.115812264623;154.10470398507059;0.2588424934908355;0.11152433865956177;0.15851791018074315;0.9652477034271214;0.11749447300179625;0.705221466381462;0.9592653670613294;26.43970352179619;597.019458430035;5.6;0.29902011376124615;0.14404049832413057;0.20614029907414247;0.9075393153481561;0.13864634299416911;0.8290312150996122;16.321989016133667;54.10457879138794;79.7043201856101;151
K1025;8.1550625;8.0600625;1.0400059711710359;376492.2715394697;0.3969604163124498;2.548006882388091;22.0;110.75813894925648;66.31818914500195;13.04504346503506;0.6066457486730864;0.19856227835173068;4.590484067211321;0.8018122691230279;0.8018122691230279;0.277706439733754;0.12020949560685264;0.16774611215083576;0.7968025017786556;0.10297122154371288;0.6958838710233114;866.5407519114311;144.19753731350482;0.20619454882234822;0.11032239174412806;0.1459340499455402;0.7810108641877281;0.1123437284401931;0.7207375473840446;1.8642624553348177;29.765912346731927;554.5633827244152;6.4;0.2670717274806429;0.11365502719601407;0.34594898135253754;0.7586036141293176;0.13582150745634944;0.7987754813601644;17.32914700034105;73.43798703189277;100.77602570877401;150
K1026;19.1675625;16.0600625;;;;;18.0;105.07104270485597;47.951748553018525;54.82794505345582;0.9017399927619664;0.21420454378547543;6.178794436230939;0.619325016637593;0.619325016637593;0.34317052050556673;0.1617424514165517;0.08947382098154757;0.9051707327733768;0.1257031495377099;0.814090734737146;177.14469238337736;163.76323722086002;0.27199713733378006;0.14538859798406714;0.119423001003603;0.6622431973613878;0.15350275049132317;0.7981692183897388;4.28654099142724;46.354693852431026;347.38934980668245;5.4;0.3296645464734569;0.16668271166896925;0.2237149146315736;0.9629296868769598;0.16354534519717717;0.8690998443263341;24.400837223452054;78.03840623252677;93.57819087386628;135
K1029;10.6450625;5.9150625;1.1133956250501489;403713.52784583764;0.4270504708118432;2.3523431163692528;18.0;659.0260453917143;40.86265607264472;1.3142925072297498;1.1052496784526078;0.5369365914753215;4.378963851862118;0.8660983711125144;0.8660983711125144;0.32818521949497453;0.14567456161260986;0.20306005949867706;0.9217874244948486;0.09899895893793782;0.8132763825917039;5020.438674775299;156.13317140036773;0.26813432998565795;0.1372459226456399;0.12910599760836167;1.1084646066598125;0.11591012522593044;0.7663021224364528;0.43416215471543823;40.69302375930688;2638.169293500956;5.6;0.2809859698626422;0.12912900717309692;0.152808120586631;0.9397107905992832;0.13410625283145097;0.8154187254329641;9.739177693954595;68.23404910640248;183.88807570891748;143
K1030;21.7350625;9.2225625;0.8553054540300343;410860.7167058038;0.36792883987871194;2.7256260614796695;19.0;92.48132915524747;61.17728028753322;58.33297932265449;1.0072092459877349;0.2664372808206002;3.8988035594140587;0.9733860258889849;0.9733860258889849;0.3020117014965707;0.14139570880671762;0.1723984029486784;0.9833843559835067;0.09198152043828219;0.7268046885257775;851.0753807629526;139.96733656824193;0.22549440564493284;0.12516980472398348;0.16754109574280115;0.9348949771989998;0.10126278240657696;0.7483739117520257;2.220003348419729;50.46345010377172;601.3433232842742;6.6;0.2750862731203885;0.09912272507585969;0.3119300846198975;1.157399213897186;0.1120572955198549;0.8112626783303128;14.716136741241426;54.18693889152634;84.13417440055751;143
K1031;15.0450625;14.7875625;1.018985521837117;137138.91500955127;0.412691726046768;2.423254976888877;18.0;88.66826740946308;29.992314469417213;53.65326782570487;0.8912671814668185;0.2239357962927405;4.0872789938216885;0.9718499912417777;0.9718499912417777;0.22910934190723825;0.11211612430457485;0.12589085935069683;0.793547700896881;0.09986344678989471;0.7901532388750014;877.0130402434604;146.86173677998377;0.18536393029682613;0.0985528256024345;0.1523201671716184;0.7466374961844537;0.11998802539264095;0.8207509739749881;1.7577112274248332;39.83703213541001;547.7780531827027;6.4;0.20675406737074017;0.12553637146595945;0.2296673263514577;0.8039039885047282;0.13882513828446147;0.8224781185296054;16.11123533988516;59.647026295432966;84.16335511710957;145
K1036;12.8550625;8.8300625;;;;;15.0;105.79200135777344;37.91439246135497;8.267930553478374;1.2337699059701654;0.2152801439127162;4.396677662598603;0.9251054692966556;0.9251054692966556;0.31576416960114506;0.1246629904896509;0.13440552884596751;0.9064284300361148;0.08873355197085343;0.7668671505647305;896.0708122462511;144.50638984403616;0.22517456210166625;0.10349697364691299;0.1218897067446502;0.971818921399308;0.09673963473382344;0.715243669958447;1.7358220993387914;32.18118187105246;553.5762045281612;5.2;0.27253269464343227;0.11840008643956774;0.3212609542727266;0.994028115292505;0.1258678634790086;0.8492267112111747;15.073616016922664;51.945746996074845;92.87676843316474;114
